Title,Genre,Runtime,Premiere,Status,Subject
My Next Guest Needs No Introduction with David Letterman,Interview,"min:41,max:58,avg:49",2018,"New episode due to premiere on April 8, 2025",Unknown
Last One Standing,"Crime comedy,variety show","min:30,max:54,avg:42",2022,Pending,Unknown
Dinner Time Live with David Chang,"Cooking show,Talk show","min:45,max:71,avg:58",2024,Pending,Unknown
The Great Indian Kapil Show,Talk show,"min:38,max:79,avg:58",2024,Season 3 due to premiere in 2025,Unknown
John Mulaney Presents: Everybody's in LA,"Live event,Talk show","min:61,max:85,avg:73",2024,Pending,Unknown
Live from the Other Side with Tyler Henry,"Paranormal,Talk show","min:43,max:48,avg:45",2024,Season 1 ongoing,Unknown
Everybody's Live with John Mulaney,Talk show,"min:57,max:59,avg:58",2025,Season 1 ongoing Renewed,Unknown
Black Mirror (series 3–6),Science fiction anthology,"min:40,max:89,avg:64",2016,"Season 7 due to premiere on April 10, 2025",Unknown
You (seasons 2–4),Psychological thriller,"min:41,max:58,avg:49",2019,"Final season due to premiere on April 24, 2025",Unknown
Unsolved Mysteries (seasons 15–17),Docuseries,"min:36,max:54,avg:45",2020,Pending,Unknown
Kota Factory (seasons 2–3),Comedy drama,"min:31,max:61,avg:46",2021,Pending,Unknown
The Mole (seasons 6–7),Reality competition,"min:34,max:51,avg:42",2022,Pending,Unknown
From Me to You: Kimi ni Todoke (season 3),Anime,"min:14,max:72,avg:43",2024,Pending,Unknown
Inside (season 2),Reality competition,"min:51,max:63,avg:57",2025,Season 2 ongoing,Unknown
Squid Game: The Challenge,Escape room competition,"min:40,max:57,avg:48",2023,Renewed,Unknown
Is It Cake? Holiday,Baking competition,"min:39,max:41,avg:40",2024,Pending,Unknown
Bad Exorcist (seasons 3–5),Adult animated horror comedy,"min:10,max:17,avg:13",2022,Pending,Unknown
Ninjago: Dragons Rising,Animated comedy,"min:22,max:23,avg:22",2023,Pending,Unknown
Ronja the Robber's Daughter,Coming-of-age fantasy,"min:42,max:51,avg:46",2024,Pending,Unknown
Seven Doors,Drama,"min:39,max:47,avg:43",2024,Pending,Unknown
I Am a Killer,True crime docuseries,"min:39,max:53,avg:46",2018,Pending,Unknown
Single's Inferno,Dating show,"min:56,max:100,avg:78",2021,Renewed,Unknown
The Parisian Agency: Exclusive Properties (seasons 2–4),Property management reality,"min:51,max:70,avg:60",2022,"Season 5 due to premiere on April 2, 2025",Unknown
Woman of the Dead,Crime thriller,"min:45,max:49,avg:47",2023,Pending,Unknown
Tour de France: Unchained,Sports docuseries,"min:34,max:49,avg:41",2023,Final season due to premiere in 2025,Unknown
I Woke Up a Vampire,Family supernatural comedy thriller,"min:23,max:27,avg:25",2023,Pending,Unknown
A Good Girl's Guide to Murder,Coming-of-age mystery thriller,"min:41,max:49,avg:45",2024,Renewed,Unknown
North of North,"APTN and CBC Television,Canada","min:30,max:30,avg:30",2025,Pending,Unknown
CoComelon (seasons 6–11),Preschool,"min:46,max:64,avg:55",2022,Pending,Unknown
Pernille (season 4),Comedy drama,"min:26,max:28,avg:27",2024,"Season 5 due to premiere on May 15, 2025",Unknown
Temptation Island (season 9),Reality show,"min:51,max:66,avg:58",2025,Pending,Unknown
